Ticker,Model,CumReturn,Sharpe,TotalTrades,WinRate
ACC.NS,DQN,-0.002895943651625821,,0,
ACC.NS,LSTM,0.0,,0,
ACC.NS,ARIMA,-0.003089860019151902,-0.463854723627568,8,0.2
ADANIENT.NS,DQN,-0.002895943651625821,,0,
ADANIENT.NS,LSTM,0.0,,0,
ADANIENT.NS,ARIMA,-0.09759289948403393,-3.6468889206149333,13,0.36363636363636365
ADANIGREEN.NS,DQN,-0.002895943651625821,,0,
ADANIGREEN.NS,LSTM,0.0,,0,
ADANIGREEN.NS,ARIMA,-0.07410608232094773,-2.0797830528287813,11,0.38461538461538464
ADANIPORTS.NS,DQN,-0.002895943651625821,,0,
ADANIPORTS.NS,LSTM,0.0,,0,
ADANIPORTS.NS,ARIMA,-0.06645145985371914,-4.288732200893727,13,0.3
ASIANPAINT.NS,DQN,-0.002895943651625821,,0,
ASIANPAINT.NS,LSTM,0.0,,0,
ASIANPAINT.NS,ARIMA,0.033814424685904676,3.8997242967653727,15,0.6
AXISBANK.NS,DQN,-0.002895943651625821,,0,
AXISBANK.NS,LSTM,0.0,,0,
AXISBANK.NS,ARIMA,-0.08494055901227082,-3.308513857415397,12,0.3
BAJAJ-AUTO.NS,DQN,-0.002895943651625821,,0,
BAJAJ-AUTO.NS,LSTM,0.0,,0,
BAJAJ-AUTO.NS,ARIMA,-0.033211788889909166,-2.176042828137819,15,0.45454545454545453
BAJAJFINSV.NS,DQN,-0.002895943651625821,,0,
BAJAJFINSV.NS,LSTM,0.0,,0,
BAJAJFINSV.NS,ARIMA,-0.022982013033588378,-2.474071491711861,9,0.5
BAJFINANCE.NS,DQN,-0.002895943651625821,,0,
BAJFINANCE.NS,LSTM,0.0,,0,
BAJFINANCE.NS,ARIMA,0.007853065040933194,0.5611995241129347,13,0.5454545454545454
BANDHANBNK.NS,DQN,-0.002895943651625821,,0,
BANDHANBNK.NS,LSTM,0.0,,0,
BANDHANBNK.NS,ARIMA,-0.08895750487948251,-3.9066194680023205,12,0.2727272727272727
BHARTIARTL.NS,DQN,-0.002895943651625821,,0,
BHARTIARTL.NS,LSTM,0.0,,0,
BHARTIARTL.NS,ARIMA,-0.025062812341008378,-2.258972990299446,13,0.3
BPCL.NS,DQN,-0.002895943651625821,,0,
BPCL.NS,LSTM,0.0,,0,
BPCL.NS,ARIMA,-0.0722682978129201,-3.4523428579220297,7,0.3
BRITANNIA.NS,DQN,-0.002895943651625821,,0,
BRITANNIA.NS,LSTM,0.0,,0,
BRITANNIA.NS,ARIMA,-0.06356173258935527,-4.206115553795874,15,0.4
CIPLA.NS,DQN,-0.002895943651625821,,0,
CIPLA.NS,LSTM,0.0,,0,
CIPLA.NS,ARIMA,0.05274863105273009,4.311745248349954,15,0.6363636363636364
COALINDIA.NS,DQN,-0.002895943651625821,,0,
COALINDIA.NS,LSTM,0.0,,0,
COALINDIA.NS,ARIMA,-0.007943500728558206,-0.7671132186919443,4,0.5454545454545454
COLPAL.NS,DQN,-0.002895943651625821,,0,
COLPAL.NS,LSTM,0.0,,0,
COLPAL.NS,ARIMA,-0.019364395938264778,-1.9324298131280522,8,0.3333333333333333
DIVISLAB.NS,DQN,-0.002895943651625821,,0,
DIVISLAB.NS,LSTM,0.0,,0,
DIVISLAB.NS,ARIMA,-0.1063863565634644,-2.87377692130429,12,0.21428571428571427
EICHERMOT.NS,DQN,-0.002895943651625821,,0,
EICHERMOT.NS,LSTM,0.0,,0,
EICHERMOT.NS,ARIMA,0.011021786049742355,1.0361852268487344,15,0.5454545454545454
GODREJCP.NS,DQN,-0.002895943651625821,,0,
GODREJCP.NS,LSTM,0.0,,0,
GODREJCP.NS,ARIMA,-0.043365481113976645,-2.7905610849485387,10,0.38461538461538464
GRASIM.NS,DQN,-0.002895943651625821,,0,
GRASIM.NS,LSTM,0.0,,0,
GRASIM.NS,ARIMA,0.01174138044080486,0.7695689828533727,10,0.5384615384615384
HCLTECH.NS,DQN,-0.002895943651625821,,0,
HCLTECH.NS,LSTM,0.0,,0,
HCLTECH.NS,ARIMA,-0.011957882665829977,-1.9695775414718868,3,0.5
HDFCBANK.NS,DQN,-0.002895943651625821,,0,
HDFCBANK.NS,LSTM,0.0,,0,
HDFCBANK.NS,ARIMA,-0.004328610906804142,-0.5316504013824704,3,0.5714285714285714
HDFCLIFE.NS,DQN,-0.002895943651625821,,0,
HDFCLIFE.NS,LSTM,0.0,,0,
HDFCLIFE.NS,ARIMA,0.03707790317235604,5.981508714034437,11,0.6666666666666666
HINDALCO.NS,DQN,-0.002895943651625821,,0,
HINDALCO.NS,LSTM,0.0,,0,
HINDALCO.NS,ARIMA,-0.026767833333956825,-2.1675885631614897,12,0.4166666666666667
HINDPETRO.NS,DQN,-0.002895943651625821,,0,
HINDPETRO.NS,LSTM,0.0,,0,
HINDPETRO.NS,ARIMA,-0.07989402695364223,-3.7745687612810506,18,0.45454545454545453
HINDUNILVR.NS,DQN,-0.002895943651625821,,0,
HINDUNILVR.NS,LSTM,0.0,,0,
HINDUNILVR.NS,ARIMA,0.02378669191481042,1.8535228059794135,16,0.46153846153846156
ICICIBANK.NS,DQN,-0.002895943651625821,,0,
ICICIBANK.NS,LSTM,0.0,,0,
ICICIBANK.NS,ARIMA,0.017512746180242678,1.7372117444893014,8,0.42857142857142855
INDUSINDBK.NS,DQN,-0.002895943651625821,,0,
INDUSINDBK.NS,LSTM,0.0,,0,
INDUSINDBK.NS,ARIMA,-0.0768419408712846,-3.9687668406429704,15,0.18181818181818182
INFY.NS,DQN,-0.002895943651625821,,0,
INFY.NS,LSTM,0.0,,0,
INFY.NS,ARIMA,-0.008722992345901792,-1.1357995959396743,15,0.375
IOC.NS,DQN,-0.002895943651625821,,0,
IOC.NS,LSTM,0.0,,0,
IOC.NS,ARIMA,-0.06913822878045273,-2.9821264296391226,8,0.5
ITC.NS,DQN,-0.002895943651625821,,0,
ITC.NS,LSTM,0.0,,0,
ITC.NS,ARIMA,-0.0043909555595916805,-0.7396915283113157,12,0.42857142857142855
JSWSTEEL.NS,DQN,-0.002895943651625821,,0,
JSWSTEEL.NS,LSTM,0.0,,0,
JSWSTEEL.NS,ARIMA,0.0511296399330341,5.998117654840194,16,0.8888888888888888
KOTAKBANK.NS,DQN,-0.002895943651625821,,0,
KOTAKBANK.NS,LSTM,0.0,,0,
KOTAKBANK.NS,ARIMA,-0.10110437308948594,-2.5256818126486946,14,0.3
LAURUSLABS.NS,DQN,-0.002895943651625821,,0,
LAURUSLABS.NS,LSTM,0.0,,0,
LAURUSLABS.NS,ARIMA,-0.0637777186409677,-2.842393134962906,17,0.2
LICI.NS,DQN,-0.002895943651625821,,0,
LICI.NS,LSTM,0.0,,0,
LICI.NS,ARIMA,0.0004373753428936755,0.03330458194931894,9,0.46153846153846156
LT.NS,DQN,-0.002895943651625821,,0,
LT.NS,LSTM,0.0,,0,
LT.NS,ARIMA,-0.01966011894152364,-1.5291044935739468,15,0.3333333333333333
M&M.NS,DQN,-0.002895943651625821,,0,
M&M.NS,LSTM,0.0,,0,
M&M.NS,ARIMA,0.017661198869825423,2.5402181602304097,11,0.5
MARUTI.NS,DQN,-0.002895943651625821,,0,
MARUTI.NS,LSTM,0.0,,0,
MARUTI.NS,ARIMA,0.029930215941281313,4.344452256671735,8,0.5
NESTLEIND.NS,DQN,-0.002895943651625821,,0,
NESTLEIND.NS,LSTM,0.0,,0,
NESTLEIND.NS,ARIMA,-0.04299494543651228,-3.4997291176443386,11,0.4
NTPC.NS,DQN,-0.002895943651625821,,0,
NTPC.NS,LSTM,0.0,,0,
NTPC.NS,ARIMA,-0.015293851175679829,-1.3377250147377955,10,0.3333333333333333
ONGC.NS,DQN,-0.002895943651625821,,0,
ONGC.NS,LSTM,0.0,,0,
ONGC.NS,ARIMA,-0.02639295788361784,-2.234802633362909,9,0.36363636363636365
PIDILITIND.NS,DQN,-0.002895943651625821,,0,
PIDILITIND.NS,LSTM,0.0,,0,
PIDILITIND.NS,ARIMA,0.040813547221429936,3.451527712267442,8,0.5384615384615384
POWERGRID.NS,DQN,-0.002895943651625821,,0,
POWERGRID.NS,LSTM,0.0,,0,
POWERGRID.NS,ARIMA,-0.03859131788017778,-3.387625263000454,15,0.5454545454545454
RELIANCE.NS,DQN,-0.002895943651625821,,0,
RELIANCE.NS,LSTM,0.0,,0,
RELIANCE.NS,ARIMA,-0.005935436954138562,-0.5926113558472037,8,0.5
SBILIFE.NS,DQN,-0.002895943651625821,,0,
SBILIFE.NS,LSTM,0.0,,0,
SBILIFE.NS,ARIMA,0.013836791601508303,1.6235965019701777,4,0.6
SBIN.NS,DQN,-0.002895943651625821,,0,
SBIN.NS,LSTM,0.0,,0,
SBIN.NS,ARIMA,0.017976506389688396,1.9671232050092344,17,0.5
SIEMENS.NS,DQN,-0.002895943651625821,,0,
SIEMENS.NS,LSTM,0.0,,0,
SIEMENS.NS,ARIMA,0.04986974998077698,3.4537717160074908,18,0.7777777777777778
SRF.NS,DQN,-0.002895943651625821,,0,
SRF.NS,LSTM,0.0,,0,
SRF.NS,ARIMA,-0.08687847287332662,-3.1788720021913393,11,0.3076923076923077
SUNPHARMA.NS,DQN,-0.002895943651625821,,0,
SUNPHARMA.NS,LSTM,0.0,,0,
SUNPHARMA.NS,ARIMA,-0.029635208822742176,-1.6092275383131014,17,0.6363636363636364
TATACONSUM.NS,DQN,-0.002895943651625821,,0,
TATACONSUM.NS,LSTM,0.0,,0,
TATACONSUM.NS,ARIMA,-0.013901187872034426,-1.2482310356552044,16,0.45454545454545453
TATAELXSI.NS,DQN,-0.002895943651625821,,0,
TATAELXSI.NS,LSTM,0.0,,0,
TATAELXSI.NS,ARIMA,-0.018408294422169846,-2.1925429052277434,13,0.42857142857142855
TATAMOTORS.NS,DQN,-0.002895943651625821,,0,
TATAMOTORS.NS,LSTM,0.0,,0,
TATAMOTORS.NS,ARIMA,0.029959596354728113,1.745005823248258,10,0.5454545454545454
TATASTEEL.NS,DQN,-0.002895943651625821,,0,
TATASTEEL.NS,LSTM,0.0,,0,
TATASTEEL.NS,ARIMA,-0.02961367996082187,-1.499290447862935,7,0.6363636363636364
TCS.NS,DQN,-0.002895943651625821,,0,
TCS.NS,LSTM,0.0,,0,
TCS.NS,ARIMA,-0.03885081114456013,-3.937921903859989,14,0.4
TITAN.NS,DQN,-0.002895943651625821,,0,
TITAN.NS,LSTM,0.0,,0,
TITAN.NS,ARIMA,0.024584490190356245,3.1864719909624117,16,0.5555555555555556
TORNTPHARM.NS,DQN,-0.002895943651625821,,0,
TORNTPHARM.NS,LSTM,0.0,,0,
TORNTPHARM.NS,ARIMA,0.03858304552538305,2.2605316316306565,14,0.5833333333333334
TVSMOTOR.NS,DQN,-0.002895943651625821,,0,
TVSMOTOR.NS,LSTM,0.0,,0,
TVSMOTOR.NS,ARIMA,0.034339431441191115,2.6043097451935413,13,0.5454545454545454
ULTRACEMCO.NS,DQN,-0.002895943651625821,,0,
ULTRACEMCO.NS,LSTM,0.0,,0,
ULTRACEMCO.NS,ARIMA,-0.009030699657566532,-0.9584831605348716,11,0.375
VEDL.NS,DQN,-0.002895943651625821,,0,
VEDL.NS,LSTM,0.0,,0,
VEDL.NS,ARIMA,0.021717437670421225,1.5938702442330674,9,0.5833333333333334
WIPRO.NS,DQN,-0.002895943651625821,,0,
WIPRO.NS,LSTM,0.0,,0,
WIPRO.NS,ARIMA,-0.11719588099640088,-4.029868395788466,14,0.23076923076923078
ALL,DQN,-0.002895943651625821,,0,
ALL,LSTM,0.0,,0,
ALL,ARIMA,-0.019703275279163317,,706,
